  1.00   .56   .17   .17   .16   .06   .16   .01  -.07  -.02   .05   .10   .10
   .56  1.00   .10   .30   .21   .15   .21  -.04  -.05  -.01   .04   .10   .17
   .17   .10  1.00   .19  -.04   .00   .28  -.04   .00   .04   .02  -.04  -.03
   .17   .30   .19  1.00   .50   .29   .40   .01   .13   .21   .28   .23   .32
   .16   .21  -.04   .50  1.00   .28   .19   .12   .27   .27   .24   .18   .40
   .06   .15   .00   .29   .28  1.00   .32   .10   .16   .14   .08   .09   .14
   .16   .21   .28   .40   .19   .32  1.00  -.06  -.07   .08   .13   .17   .17
   .01  -.04  -.04   .01   .12   .10  -.06  1.00   .42   .18   .07   .02   .08
  -.07  -.05   .00   .13   .27   .16  -.07   .42  1.00   .31   .15   .08   .17
  -.02  -.01   .04   .21   .27   .14   .08   .18   .31  1.00   .25   .08   .33
   .05   .04   .02   .28   .24   .08   .13   .07   .15   .25  1.00   .59   .55
   .10   .10  -.04   .23   .18   .09   .17   .02   .08   .08   .59  1.00   .49
   .10   .17  -.03   .32   .40   .14   .17   .08   .17   .33   .55   .49  1.00
